unit_id,target_failure,rul_hours
UNIT_0032,0,159.0
UNIT_0023,0,48.0
UNIT_0009,0,182.0
UNIT_0024,0,137.0
UNIT_0022,0,43.0
UNIT_0032,0,71.0
UNIT_0003,0,81.0
UNIT_0026,0,106.0
UNIT_0032,0,48.0
UNIT_0002,0,39.0
UNIT_0014,0,138.0
UNIT_0038,1,22.0
UNIT_0026,0,36.0
UNIT_0029,0,139.0
UNIT_0020,0,168.0
UNIT_0031,0,187.0
UNIT_0003,0,75.0
UNIT_0051,0,191.0
UNIT_0036,0,94.0
UNIT_0042,0,79.0
UNIT_0050,1,12.0
UNIT_0011,0,126.0
UNIT_0023,0,92.0
UNIT_0048,1,10.0
UNIT_0025,0,162.0
UNIT_0051,0,201.0
UNIT_0010,0,172.0
UNIT_0043,0,201.0
UNIT_0033,1,21.0
UNIT_0046,0,203.0
UNIT_0002,0,157.0
UNIT_0013,1,30.0
UNIT_0023,0,107.0
UNIT_0025,0,160.0
UNIT_0043,0,116.0
UNIT_0017,0,243.0
UNIT_0028,0,40.0
UNIT_0002,0,227.0
UNIT_0020,0,194.0
UNIT_0034,0,176.0
UNIT_0028,0,82.0
UNIT_0001,0,156.0
UNIT_0043,0,82.0
UNIT_0007,0,49.0
UNIT_0048,0,178.0
UNIT_0001,0,152.0
UNIT_0024,0,60.0
UNIT_0017,0,115.0
UNIT_0009,0,153.0
UNIT_0011,0,71.0
UNIT_0018,0,52.0
UNIT_0043,0,160.0
UNIT_0025,0,116.0
UNIT_0042,0,110.0
UNIT_0015,0,63.0
UNIT_0041,0,103.0
UNIT_0015,0,56.0
UNIT_0049,0,55.0
UNIT_0012,1,0.0
UNIT_0013,0,116.0
UNIT_0006,0,115.0
UNIT_0041,0,75.0
UNIT_0031,0,143.0
UNIT_0001,0,84.0
UNIT_0007,0,247.0
UNIT_0042,0,50.0
UNIT_0014,0,135.0
UNIT_0050,0,155.0
UNIT_0032,0,180.0
UNIT_0014,1,12.0
UNIT_0027,0,141.0
UNIT_0004,0,47.0
UNIT_0017,1,10.0
UNIT_0015,0,201.0
UNIT_0015,0,168.0
UNIT_0042,0,59.0
UNIT_0005,0,144.0
UNIT_0034,0,119.0
UNIT_0044,0,61.0
UNIT_0010,0,115.0
UNIT_0047,0,210.0
UNIT_0005,0,163.0
UNIT_0027,0,105.0
UNIT_0019,0,76.0
UNIT_0030,0,125.0
UNIT_0016,0,159.0
UNIT_0017,0,275.0
UNIT_0015,0,89.0
UNIT_0046,0,49.0
UNIT_0040,0,55.0
UNIT_0038,0,71.0
UNIT_0041,0,99.0
UNIT_0047,1,26.0
UNIT_0005,0,59.0
UNIT_0016,0,150.0
UNIT_0019,0,146.0
UNIT_0047,0,75.0
UNIT_0040,1,0.0
UNIT_0039,0,98.0
UNIT_0037,0,84.0
UNIT_0004,0,82.0
UNIT_0025,0,90.0
UNIT_0025,0,206.0
UNIT_0042,0,144.0
UNIT_0035,0,144.0
UNIT_0011,0,210.0
UNIT_0009,0,51.0
UNIT_0041,0,191.0
UNIT_0047,0,141.0
UNIT_0011,0,35.0
UNIT_0028,0,102.0
UNIT_0034,0,63.0
UNIT_0020,0,164.0
UNIT_0006,0,180.0
UNIT_0045,0,85.0
UNIT_0020,0,118.0
UNIT_0040,0,185.0
UNIT_0004,0,81.0
UNIT_0011,0,31.0
UNIT_0020,0,96.0
UNIT_0037,0,99.0
UNIT_0021,0,146.0
UNIT_0041,0,89.0
UNIT_0030,1,16.0
UNIT_0017,0,230.0
UNIT_0023,0,37.0
UNIT_0017,0,181.0
UNIT_0020,0,86.0
UNIT_0047,0,115.0
UNIT_0006,0,79.0
UNIT_0032,0,119.0
UNIT_0016,0,182.0
UNIT_0003,0,147.0
UNIT_0030,0,192.0
UNIT_0042,0,56.0
UNIT_0048,0,78.0
UNIT_0001,0,95.0
UNIT_0034,0,125.0
UNIT_0007,0,50.0
UNIT_0045,1,3.0
UNIT_0001,0,72.0
UNIT_0040,0,34.0
UNIT_0033,0,94.0
UNIT_0001,0,158.0
UNIT_0041,0,154.0
UNIT_0035,0,157.0
UNIT_0027,0,43.0
UNIT_0005,0,47.0
UNIT_0007,0,215.0
UNIT_0024,0,132.0
UNIT_0031,0,215.0
UNIT_0031,0,181.0
UNIT_0019,0,116.0
UNIT_0044,0,190.0
UNIT_0026,0,39.0
UNIT_0035,0,90.0
UNIT_0027,0,155.0
UNIT_0001,0,160.0
UNIT_0029,0,118.0
UNIT_0022,0,178.0
UNIT_0001,0,162.0
UNIT_0021,0,160.0
UNIT_0038,1,2.0
UNIT_0004,0,111.0
UNIT_0010,0,68.0
UNIT_0001,0,85.0
UNIT_0049,0,66.0
UNIT_0046,0,156.0
UNIT_0041,1,21.0
UNIT_0011,0,143.0
UNIT_0005,0,122.0
UNIT_0048,0,83.0
UNIT_0036,0,87.0
UNIT_0034,1,17.0
UNIT_0002,0,118.0
UNIT_0002,0,174.0
UNIT_0013,0,81.0
UNIT_0046,0,85.0
UNIT_0022,0,51.0
UNIT_0030,0,76.0
UNIT_0043,0,131.0
UNIT_0016,0,204.0
UNIT_0029,0,89.0
UNIT_0019,0,35.0
UNIT_0027,1,24.0
UNIT_0041,0,111.0
UNIT_0003,0,36.0
UNIT_0037,0,80.0
UNIT_0012,0,47.0
UNIT_0004,0,133.0
UNIT_0043,0,41.0
UNIT_0014,0,33.0
UNIT_0021,0,93.0
UNIT_0015,0,187.0
UNIT_0042,0,157.0
UNIT_0022,0,48.0
UNIT_0006,0,42.0
UNIT_0016,0,144.0
UNIT_0005,0,145.0
UNIT_0019,1,21.0
UNIT_0026,0,110.0
UNIT_0046,0,204.0
UNIT_0002,0,219.0
UNIT_0019,0,143.0
UNIT_0047,0,62.0
UNIT_0003,0,170.0
UNIT_0041,0,134.0
UNIT_0003,0,139.0
UNIT_0043,0,102.0
UNIT_0002,0,167.0
UNIT_0016,0,73.0
UNIT_0041,0,109.0
UNIT_0038,0,52.0
UNIT_0050,0,125.0
UNIT_0026,0,125.0
UNIT_0042,0,161.0
UNIT_0033,0,110.0
UNIT_0034,1,16.0
UNIT_0040,0,53.0
UNIT_0014,0,151.0
UNIT_0041,0,200.0
UNIT_0032,0,150.0
UNIT_0042,0,32.0
UNIT_0006,0,56.0
UNIT_0048,0,160.0
UNIT_0021,0,168.0
UNIT_0041,0,41.0
UNIT_0038,0,132.0
UNIT_0017,0,146.0
UNIT_0027,0,83.0
UNIT_0005,0,157.0
UNIT_0002,0,62.0
UNIT_0029,0,51.0
UNIT_0034,0,79.0
UNIT_0022,0,183.0
UNIT_0026,0,112.0
UNIT_0005,1,3.0
UNIT_0013,1,20.0
UNIT_0033,0,139.0
UNIT_0046,0,231.0
UNIT_0040,1,18.0
UNIT_0017,0,170.0
UNIT_0001,0,111.0
UNIT_0023,0,119.0
UNIT_0007,0,189.0
UNIT_0007,0,53.0
UNIT_0033,0,169.0
UNIT_0015,1,25.0
UNIT_0015,0,80.0
UNIT_0024,0,57.0
UNIT_0040,1,4.0
UNIT_0001,0,99.0
UNIT_0048,0,75.0
