sample_id,oil_present,oil_thickness_mm
501,0,0.0
502,0,0.0
503,0,0.0
504,1,3.96
505,0,0.0
506,0,0.0
507,1,2.26
508,0,0.0
509,0,0.0
510,1,1.21
511,0,0.0
512,0,0.0
513,1,2.54
514,1,1.99
515,1,2.07
516,0,0.0
517,0,0.0
518,1,2.91
519,1,3.24
520,0,0.0
521,0,0.0
522,0,0.0
523,1,1.18
524,1,0.92
525,1,4.18
526,1,1.59
527,0,0.0
528,0,0.0
529,1,0.98
530,1,1.45
531,1,0.93
532,1,2.13
533,1,3.53
534,1,1.96
535,0,0.0
536,1,2.31
537,0,0.0
538,0,0.0
539,0,0.0
540,0,0.0
541,0,0.0
542,0,0.0
543,0,0.0
544,1,3.1
545,0,0.0
546,0,0.0
547,0,0.0
548,1,2.53
549,1,3.73
550,0,0.0
551,1,3.74
552,1,0.83
553,1,3.45
554,1,2.37
555,0,0.0
556,0,0.0
557,1,4.16
558,1,2.44
559,0,0.0
560,0,0.0
561,1,4.16
562,0,0.0
563,1,3.37
564,1,1.65
565,1,2.63
566,1,4.17
567,1,3.72
568,1,1.13
569,0,0.0
570,1,3.2
571,0,0.0
572,0,0.0
573,1,1.97
574,0,0.0
575,0,0.0
576,1,0.82
577,0,0.0
578,0,0.0
579,0,0.0
580,1,2.17
581,0,0.0
582,1,1.6
583,0,0.0
584,1,3.58
585,1,1.95
586,1,3.61
587,0,0.0
588,0,0.0
589,0,0.0
590,0,0.0
591,0,0.0
592,0,0.0
593,1,0.8
594,0,0.0
595,1,1.85
596,0,0.0
597,1,1.62
598,0,0.0
599,0,0.0
600,0,0.0
601,1,1.59
602,1,1.03
603,0,0.0
604,0,0.0
605,1,1.44
606,0,0.0
607,0,0.0
608,0,0.0
609,0,0.0
610,1,2.69
611,1,1.79
612,0,0.0
613,1,2.22
614,0,0.0
615,1,2.08
616,1,3.78
617,0,0.0
618,0,0.0
619,1,3.88
620,0,0.0
621,0,0.0
622,0,0.0
623,0,0.0
624,0,0.0
625,1,2.48
626,1,1.92
627,1,1.16
628,1,4.04
629,1,1.0
630,1,1.81
631,0,0.0
632,1,1.81
633,1,1.89
634,0,0.0
635,1,1.36
636,0,0.0
637,0,0.0
638,1,3.46
639,1,1.22
640,0,0.0
641,1,2.96
642,1,1.22
643,0,0.0
644,1,1.04
645,1,3.89
646,0,0.0
647,1,1.45
648,0,0.0
649,1,3.59
650,0,0.0
651,1,2.65
652,1,1.06
653,0,0.0
654,0,0.0
655,1,4.05
656,1,1.64
657,0,0.0
658,0,0.0
659,1,3.72
660,0,0.0
661,0,0.0
662,0,0.0
663,1,1.37
664,0,0.0
665,1,3.7
666,1,0.84
667,1,2.54
668,1,3.42
669,0,0.0
670,0,0.0
671,0,0.0
672,0,0.0
673,1,3.98
674,1,3.89
675,1,3.59
676,0,0.0
677,0,0.0
678,1,3.82
679,1,1.48
680,1,1.77
681,1,1.78
682,1,2.08
683,0,0.0
684,0,0.0
685,1,2.14
686,0,0.0
687,1,2.65
688,1,1.34
689,1,3.15
690,1,1.37
691,0,0.0
692,0,0.0
693,0,0.0
694,0,0.0
695,0,0.0
696,0,0.0
697,0,0.0
698,0,0.0
699,1,1.86
700,1,2.51
701,0,0.0
702,1,3.51
703,1,3.31
704,1,2.99
705,1,1.33
706,1,2.66
707,1,1.1
708,0,0.0
709,0,0.0
710,1,2.08
711,1,2.21
712,1,0.94
713,1,1.73
714,0,0.0
715,0,0.0
716,0,0.0
717,1,4.05
718,1,4.04
719,0,0.0
720,0,0.0
721,1,2.0
722,1,0.95
723,1,1.41
724,1,2.13
725,0,0.0
726,0,0.0
727,0,0.0
728,1,4.02
729,0,0.0
730,1,1.28
731,0,0.0
732,1,3.4
733,0,0.0
734,1,1.17
735,0,0.0
736,0,0.0
737,0,0.0
738,1,4.14
739,1,2.1
740,0,0.0
741,0,0.0
742,1,3.44
743,1,1.96
744,1,2.93
745,0,0.0
746,0,0.0
747,1,1.45
748,1,1.3
749,0,0.0
750,1,3.99
