scene_id,detect_scene_row,detect_scene_column,is_vessel,is_fishing,vessel_length_m
scene_051,97,242,True,False,164.6
scene_052,97,170,True,False,96.7
scene_053,127,181,True,False,179.9
scene_054,154,189,True,False,181.4
scene_055,219,236,True,False,219.1
scene_056,181,247,True,False,132.5
scene_057,171,76,True,False,217.0
scene_057,108,288,True,False,281.9
scene_058,176,163,True,False,326.9
scene_059,132,191,True,False,95.0
scene_060,247,82,True,False,64.3
scene_060,146,250,True,False,46.9
scene_060,270,346,True,False,43.8
scene_061,64,102,True,False,87.9
scene_061,270,277,True,False,82.0
scene_062,88,185,True,False,49.1
scene_062,101,320,True,True,45.6
scene_062,144,156,True,True,27.0
scene_062,189,347,True,True,50.2
scene_062,238,141,True,True,33.4
scene_063,98,95,True,False,68.6
scene_063,118,366,True,False,78.5
scene_063,201,39,True,True,49.7
scene_063,292,422,True,False,82.4
scene_064,126,163,True,False,148.9
scene_065,137,190,True,False,150.0
scene_066,66,156,True,False,70.3
scene_066,274,332,True,False,73.9
scene_067,150,206,True,False,255.1
scene_068,73,130,True,False,38.9
scene_068,83,266,True,True,45.5
scene_068,127,102,True,True,33.9
scene_068,222,88,True,True,38.1
scene_068,171,292,True,True,45.7
scene_069,99,208,True,False,165.8
scene_070,83,110,True,False,139.6
