image_id,ship_present,ship_count
401,1,1
402,1,1
403,1,1
404,1,1
405,1,1
406,0,0
407,0,0
408,1,1
409,1,1
410,1,1
411,0,0
412,0,0
413,1,1
414,1,1
415,0,0
416,0,0
417,0,0
418,1,1
419,0,0
420,0,0
421,1,1
422,0,0
423,0,0
424,0,0
425,0,0
426,1,1
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,0
433,1,1
434,1,1
435,1,1
436,1,1
437,0,0
438,1,1
439,0,0
440,0,0
441,0,0
442,0,0
443,1,1
444,0,0
445,1,1
446,0,0
447,0,0
448,0,0
449,1,1
450,0,0
451,0,0
452,1,1
453,0,0
454,1,1
455,0,0
456,0,0
457,0,0
458,0,0
459,1,1
460,1,1
461,1,1
462,1,1
463,0,0
464,0,0
465,1,1
466,1,1
467,1,1
468,1,1
469,1,1
470,1,1
471,1,1
472,1,1
473,1,1
474,1,1
475,0,0
476,0,0
477,1,1
478,1,1
479,1,1
480,1,1
481,0,0
482,1,1
483,1,1
484,1,1
485,1,1
486,1,1
487,1,1
488,0,0
489,1,1
490,1,1
491,0,0
492,0,0
493,0,0
494,1,1
495,0,0
496,0,0
497,0,0
498,0,0
499,0,0
500,0,0
