audio_id,audio_path,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,ambient_noise
audio_0001,audio_0001.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0002,audio_0002.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0003,audio_0003.wav,0,0,0,0,0,0,0,0,0,1,0
audio_0004,audio_0004.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0005,audio_0005.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0006,audio_0006.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0007,audio_0007.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0008,audio_0008.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0009,audio_0009.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0010,audio_0010.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0011,audio_0011.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0012,audio_0012.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0013,audio_0013.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0014,audio_0014.wav,0,0,0,0,0,0,0,0,1,0,0
audio_0015,audio_0015.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0016,audio_0016.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0017,audio_0017.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0018,audio_0018.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0019,audio_0019.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0020,audio_0020.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0021,audio_0021.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0022,audio_0022.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0023,audio_0023.wav,0,0,0,0,0,0,0,0,1,0,0
audio_0024,audio_0024.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0025,audio_0025.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0026,audio_0026.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0027,audio_0027.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0028,audio_0028.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0029,audio_0029.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0030,audio_0030.wav,0,0,0,0,0,1,0,0,0,0,0
audio_0031,audio_0031.wav,0,0,0,0,0,1,0,0,0,0,0
audio_0032,audio_0032.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0033,audio_0033.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0034,audio_0034.wav,0,0,0,0,0,0,0,0,0,1,0
audio_0035,audio_0035.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0036,audio_0036.wav,0,1,0,0,0,0,0,0,0,0,0
