audio_id,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,ambient_noise
audio_0401,0,1,0,0,0,0,0,0,0,0,0
audio_0402,0,1,0,0,0,0,0,0,0,0,0
audio_0403,0,1,0,0,0,0,0,0,0,0,0
audio_0404,0,1,0,0,0,0,0,0,0,0,0
audio_0405,0,1,0,0,0,0,0,0,0,0,0
audio_0406,0,0,0,0,0,0,0,0,0,0,1
audio_0407,0,0,0,0,0,1,0,0,0,0,0
audio_0408,0,0,0,0,0,0,0,0,1,0,0
audio_0409,0,0,0,0,0,0,0,0,0,0,1
audio_0410,0,1,0,0,0,0,0,0,0,0,0
audio_0411,0,1,0,0,0,0,0,0,0,0,0
audio_0412,0,0,0,0,0,0,0,0,0,0,1
audio_0413,0,0,0,0,0,0,0,0,0,1,0
audio_0414,0,0,0,0,0,1,0,0,0,0,0
audio_0415,0,1,0,0,0,0,0,0,0,0,0
audio_0416,0,0,0,0,1,0,0,0,0,0,0
audio_0417,0,0,0,0,0,1,0,0,0,0,0
audio_0418,0,0,0,0,0,1,0,0,0,0,0
audio_0419,1,0,0,0,0,0,0,0,0,0,0
audio_0420,0,1,0,0,0,0,0,0,0,0,0
audio_0421,1,0,0,0,0,0,0,0,0,0,0
audio_0422,0,1,0,0,0,0,0,0,0,0,0
audio_0423,0,0,0,0,0,0,0,0,0,0,1
audio_0424,0,0,0,0,0,0,0,0,0,0,1
audio_0425,0,0,0,0,0,0,0,0,0,0,1
audio_0426,0,0,0,0,1,0,0,0,0,0,0
audio_0427,0,0,0,0,0,0,0,0,0,0,1
audio_0428,0,0,0,0,0,0,0,0,0,0,1
audio_0429,0,0,0,0,0,0,0,0,0,0,1
audio_0430,0,1,0,0,0,0,0,0,0,0,0
audio_0431,0,0,0,0,0,0,0,0,0,0,1
audio_0432,0,1,0,0,0,0,0,0,0,0,0
audio_0433,1,0,0,0,0,0,0,0,0,0,0
audio_0434,0,1,0,0,0,0,0,0,0,0,0
