detect_id,scene_id,detect_scene_row,detect_scene_column,is_vessel,is_fishing,vessel_length_m,distance_from_shore_km
1,scene_001,160,236,True,False,77.7,30.96
2,scene_002,218,102,True,False,137.8,27.21
3,scene_003,141,195,True,False,92.9,12.78
4,scene_004,184,198,True,False,99.5,20.82
5,scene_005,158,142,True,False,138.6,1.86
6,scene_005,168,368,True,False,88.0,5.89
7,scene_005,274,270,True,False,78.9,5.52
8,scene_006,216,278,True,False,89.5,13.12
9,scene_007,272,230,True,False,108.7,6.28
10,scene_008,138,257,True,False,85.3,2.93
11,scene_009,140,150,True,False,137.1,11.89
12,scene_010,163,385,True,False,93.6,21.21
13,scene_011,158,138,True,False,240.5,6.78
14,scene_012,125,110,True,False,151.0,2.7
15,scene_012,162,116,True,False,158.3,3.63
16,scene_012,55,290,True,False,234.9,4.25
17,scene_013,63,110,True,False,258.6,5.28
18,scene_013,18,285,True,False,120.6,13.35
19,scene_014,232,108,True,False,85.5,12.02
20,scene_014,118,388,True,False,85.9,15.29
21,scene_015,108,276,True,False,248.3,6.4
22,scene_015,230,144,True,False,219.4,21.85
23,scene_016,188,180,True,False,264.9,3.74
24,scene_017,213,158,True,False,206.7,8.6
25,scene_018,133,265,True,False,260.6,20.37
26,scene_019,142,277,True,False,257.3,3.38
27,scene_020,149,192,True,False,202.1,2.4
28,scene_021,144,177,True,False,206.1,26.82
29,scene_022,232,176,True,False,67.8,6.04
30,scene_023,171,231,True,False,135.3,14.82
31,scene_024,124,286,True,False,252.3,1.31
32,scene_025,113,132,True,False,204.0,15.06
33,scene_025,45,355,True,False,142.4,5.56
34,scene_026,117,176,True,False,165.3,1.69
35,scene_027,160,265,True,False,299.0,12.29
36,scene_028,160,172,True,False,304.8,4.31
37,scene_029,168,185,True,False,203.3,6.87
38,scene_030,203,210,True,False,326.4,2.01
39,scene_031,126,156,True,False,166.7,2.91
40,scene_032,152,187,True,False,220.5,5.25
41,scene_033,135,220,True,True,51.3,30.01
42,scene_034,56,259,True,False,62.2,1.07
43,scene_034,241,174,True,True,55.7,2.58
44,scene_035,57,165,True,True,54.1,32.25
45,scene_036,137,213,True,False,74.1,3.12
46,scene_037,121,29,True,False,83.3,41.52
47,scene_037,73,424,True,False,70.6,3.76
48,scene_038,163,149,True,False,105.2,17.24
49,scene_038,228,305,True,True,34.0,26.9
50,scene_039,119,111,True,False,129.4,10.69
51,scene_040,153,59,True,True,45.5,3.61
52,scene_040,87,265,True,True,48.9,30.79
53,scene_040,274,168,True,True,45.2,6.58
54,scene_041,137,173,True,False,136.3,18.12
55,scene_042,56,99,True,False,88.9,5.96
56,scene_042,265,275,True,False,81.4,37.45
57,scene_043,163,245,True,False,97.6,17.07
58,scene_044,143,207,True,False,192.6,11.92
59,scene_045,122,170,True,False,181.2,26.53
60,scene_046,107,200,True,False,114.6,1.61
61,scene_047,159,295,True,False,69.2,4.57
62,scene_047,265,236,True,False,63.4,8.51
63,scene_048,76,158,True,False,77.5,4.09
64,scene_048,248,213,True,False,78.2,17.35
65,scene_049,181,210,True,False,147.5,31.19
66,scene_050,157,231,True,False,158.1,7.61
