image_id,image_path,ship_present,ship_count,ship_confidence
1,sat_img_00001.jpg,0,0,0.0
2,sat_img_00002.jpg,0,0,0.0
3,sat_img_00003.jpg,0,0,0.0
4,sat_img_00004.jpg,0,0,0.0
5,sat_img_00005.jpg,0,0,0.0
6,sat_img_00006.jpg,0,0,0.0
7,sat_img_00007.jpg,1,1,1.0
8,sat_img_00008.jpg,1,1,1.0
9,sat_img_00009.jpg,1,1,1.0
10,sat_img_00010.jpg,0,0,0.0
11,sat_img_00011.jpg,1,1,1.0
12,sat_img_00012.jpg,0,0,0.0
13,sat_img_00013.jpg,0,0,0.0
14,sat_img_00014.jpg,0,0,0.0
15,sat_img_00015.jpg,0,0,0.0
16,sat_img_00016.jpg,0,0,0.0
17,sat_img_00017.jpg,1,1,1.0
18,sat_img_00018.jpg,1,1,1.0
19,sat_img_00019.jpg,1,1,1.0
20,sat_img_00020.jpg,1,1,1.0
21,sat_img_00021.jpg,1,1,1.0
22,sat_img_00022.jpg,1,1,1.0
23,sat_img_00023.jpg,0,0,0.0
24,sat_img_00024.jpg,1,1,1.0
25,sat_img_00025.jpg,1,1,1.0
26,sat_img_00026.jpg,1,1,1.0
27,sat_img_00027.jpg,1,1,1.0
28,sat_img_00028.jpg,1,1,1.0
29,sat_img_00029.jpg,0,0,0.0
30,sat_img_00030.jpg,1,1,1.0
31,sat_img_00031.jpg,0,0,0.0
32,sat_img_00032.jpg,0,0,0.0
33,sat_img_00033.jpg,0,0,0.0
34,sat_img_00034.jpg,1,1,1.0
35,sat_img_00035.jpg,0,0,0.0
36,sat_img_00036.jpg,1,1,1.0
37,sat_img_00037.jpg,0,0,0.0
38,sat_img_00038.jpg,1,1,1.0
39,sat_img_00039.jpg,0,0,0.0
40,sat_img_00040.jpg,0,0,0.0
41,sat_img_00041.jpg,0,0,0.0
42,sat_img_00042.jpg,0,0,0.0
43,sat_img_00043.jpg,0,0,0.0
44,sat_img_00044.jpg,0,0,0.0
45,sat_img_00045.jpg,0,0,0.0
46,sat_img_00046.jpg,0,0,0.0
47,sat_img_00047.jpg,1,1,1.0
48,sat_img_00048.jpg,1,1,1.0
49,sat_img_00049.jpg,1,1,1.0
50,sat_img_00050.jpg,1,1,1.0
51,sat_img_00051.jpg,1,1,1.0
52,sat_img_00052.jpg,0,0,0.0
53,sat_img_00053.jpg,0,0,0.0
54,sat_img_00054.jpg,0,0,0.0
55,sat_img_00055.jpg,0,0,0.0
56,sat_img_00056.jpg,0,0,0.0
57,sat_img_00057.jpg,1,1,1.0
58,sat_img_00058.jpg,0,0,0.0
59,sat_img_00059.jpg,0,0,0.0
60,sat_img_00060.jpg,1,1,1.0
61,sat_img_00061.jpg,1,1,1.0
62,sat_img_00062.jpg,0,0,0.0
63,sat_img_00063.jpg,1,1,1.0
64,sat_img_00064.jpg,1,1,1.0
65,sat_img_00065.jpg,1,1,1.0
66,sat_img_00066.jpg,0,0,0.0
67,sat_img_00067.jpg,0,0,0.0
68,sat_img_00068.jpg,1,1,1.0
69,sat_img_00069.jpg,0,0,0.0
70,sat_img_00070.jpg,0,0,0.0
71,sat_img_00071.jpg,1,1,1.0
72,sat_img_00072.jpg,1,1,1.0
73,sat_img_00073.jpg,0,0,0.0
74,sat_img_00074.jpg,1,1,1.0
75,sat_img_00075.jpg,1,1,1.0
76,sat_img_00076.jpg,0,0,0.0
77,sat_img_00077.jpg,1,1,1.0
78,sat_img_00078.jpg,0,0,0.0
79,sat_img_00079.jpg,1,1,1.0
80,sat_img_00080.jpg,1,1,1.0
81,sat_img_00081.jpg,0,0,0.0
82,sat_img_00082.jpg,1,1,1.0
83,sat_img_00083.jpg,0,0,0.0
84,sat_img_00084.jpg,1,1,1.0
85,sat_img_00085.jpg,1,1,1.0
86,sat_img_00086.jpg,0,0,0.0
87,sat_img_00087.jpg,1,1,1.0
88,sat_img_00088.jpg,0,0,0.0
89,sat_img_00089.jpg,0,0,0.0
90,sat_img_00090.jpg,0,0,0.0
91,sat_img_00091.jpg,1,1,1.0
92,sat_img_00092.jpg,1,1,1.0
93,sat_img_00093.jpg,1,1,1.0
94,sat_img_00094.jpg,0,0,0.0
95,sat_img_00095.jpg,0,0,0.0
96,sat_img_00096.jpg,0,0,0.0
97,sat_img_00097.jpg,1,1,1.0
98,sat_img_00098.jpg,1,1,1.0
99,sat_img_00099.jpg,1,1,1.0
100,sat_img_00100.jpg,1,1,1.0
101,sat_img_00101.jpg,0,0,0.0
102,sat_img_00102.jpg,0,0,0.0
103,sat_img_00103.jpg,1,1,1.0
104,sat_img_00104.jpg,0,0,0.0
105,sat_img_00105.jpg,1,1,1.0
106,sat_img_00106.jpg,1,1,1.0
107,sat_img_00107.jpg,0,0,0.0
108,sat_img_00108.jpg,0,0,0.0
109,sat_img_00109.jpg,1,1,1.0
110,sat_img_00110.jpg,0,0,0.0
111,sat_img_00111.jpg,0,0,0.0
112,sat_img_00112.jpg,0,0,0.0
113,sat_img_00113.jpg,0,0,0.0
114,sat_img_00114.jpg,0,0,0.0
115,sat_img_00115.jpg,1,1,1.0
116,sat_img_00116.jpg,1,1,1.0
117,sat_img_00117.jpg,1,1,1.0
118,sat_img_00118.jpg,0,0,0.0
119,sat_img_00119.jpg,1,1,1.0
120,sat_img_00120.jpg,0,0,0.0
121,sat_img_00121.jpg,0,0,0.0
122,sat_img_00122.jpg,1,1,1.0
123,sat_img_00123.jpg,1,1,1.0
124,sat_img_00124.jpg,0,0,0.0
125,sat_img_00125.jpg,0,0,0.0
126,sat_img_00126.jpg,0,0,0.0
127,sat_img_00127.jpg,1,1,1.0
128,sat_img_00128.jpg,1,1,1.0
129,sat_img_00129.jpg,1,1,1.0
130,sat_img_00130.jpg,1,1,1.0
131,sat_img_00131.jpg,0,0,0.0
132,sat_img_00132.jpg,0,0,0.0
133,sat_img_00133.jpg,1,1,1.0
134,sat_img_00134.jpg,0,0,0.0
135,sat_img_00135.jpg,0,0,0.0
136,sat_img_00136.jpg,1,1,1.0
137,sat_img_00137.jpg,1,1,1.0
138,sat_img_00138.jpg,1,1,1.0
139,sat_img_00139.jpg,1,1,1.0
140,sat_img_00140.jpg,1,1,1.0
141,sat_img_00141.jpg,1,1,1.0
142,sat_img_00142.jpg,0,0,0.0
143,sat_img_00143.jpg,1,1,1.0
144,sat_img_00144.jpg,1,1,1.0
145,sat_img_00145.jpg,0,0,0.0
146,sat_img_00146.jpg,0,0,0.0
147,sat_img_00147.jpg,0,0,0.0
